name,email_id,recency_days,frequency,monetary,page_views_30d,cart_abandonment_rate,support_tickets_30d,sentiment_score,email_open_rate,discount_dependency,predicted_clv,churned_30d
Amit Sharma 0,amitsharma0104@gmail.com,122,19,3793.972738151323,75,0.36240745617697456,7,2.3348344445560874,0.4394633936788146,0.14286681792194078,6226.019089589203,0
Arjun Singh 1,arjunsingh1236@gmail.com,277,6,51.51859338997794,58,0.8469926038510867,5,1.0282652208788696,0.29766346778736524,0.023062425041415757,128.7785771207662,1
Kiran Gupta 2,kirangupta2275@gmail.com,16,34,5648.559873736287,55,0.15990213464750794,3,3.36965827544817,0.8925879806965068,0.046450412719997725,10880.879117014627,0
Arjun Gupta 3,arjungupta3213@gmail.com,4,44,9725.056264596475,53,0.19138413075201122,1,3.7369321060486276,0.9041986740582306,0.4401524937396013,26626.642676297546,0
Kiran Sharma 4,kiransharma4842@gmail.com,14,36,4070.2398528001354,134,0.19351332282682332,5,3.1868411173731186,0.831261142176991,0.18485445552552704,13992.801051344944,0
Kiran Sharma 5,kiransharma5618@gmail.com,309,4,1215.904958681616,190,0.6353970008207678,7,4.378135394712606,0.27656227050693505,0.7473201101373809,3607.441567629653,1
Sneha Paul 6,snehapaul6547@gmail.com,307,9,627.7333361229606,9,0.6062545626964776,7,2.579526072702279,0.04958008171890075,0.2934881747180381,1253.6500183878795,1
Ravi Das 7,ravidas7025@gmail.com,282,1,1231.6219508229722,28,0.8604308102007778,6,4.400154311159197,0.2778902635540047,0.4494506741382034,2989.2026741674426,1
Sneha Das 8,snehadas8883@gmail.com,66,7,3160.8400446847722,101,0.5244973703390804,2,4.04314019446759,0.3098887171960257,0.5612771975694962,8643.282304221071,0
Arjun Das 9,arjundas9118@gmail.com,44,14,2477.0142583959655,52,0.6583054382694077,3,4.6302658957043725,0.28068768093415847,0.24929222914887494,8394.29874539004,0
Priya Singh 10,priyasingh10390@gmail.com,32,26,4318.011623310144,45,0.378909295702772,8,1.4219770393210824,0.5806106436270022,0.45653457048291024,10973.254425286577,1
Kiran Singh 11,kiransingh11079@gmail.com,247,7,1797.378034850812,121,0.6440207698110707,8,4.272059063689973,0.09540104249155916,0.8607305832563434,4991.082009806763,1
Rahul Roy 12,rahulroy12694@gmail.com,80,14,2019.2682713163258,96,0.4292811728083021,7,3.8120758355807114,0.5771638815650076,0.363629602379294,7887.500620701566,0
Priya Verma 13,priyaverma13738@gmail.com,2,22,4407.026478534157,113,0.11106608420635984,1,3.010716092915446,0.6424202471887338,0.05147875124998935,16617.419240312054,0
